lhs,relation,rhs
babel,used-in,software-development
babel,works-with,javascript
backbonejs,is-a,library
backbonejs,used-for,frontend
backbonejs,used-in,mobile
backbonejs,used-in,webapp
backbonejs,works-with,javascript
bash,is-a,cli
bash,works-with,linux
basic8,is-a,fantasy-console
basic8,used-in,game
bioinformatics,is-a,field
bioinformatics,used-in,ai
bioinformatics,used-in,scientific
biological-expression-language,is-a,representation-language
biological-expression-language,used-in,bioinformatics
biological-expression-language,used-in,scientific
bitcoin,is-a,cryptocurrency
bitcoin,used-in,blockchain
bitcoin-cash,is-a,cryptocurrency
bitcoin-cash,used-in,blockchain
blockchain,is-a,under-revision
bootstrap,is-a,framework
bootstrap,used-for,frontend
bootstrap,used-in,webapp
bootstrap,works-with,css
bootstrap,works-with,html
bootstrap,works-with,javascript
bosque,is-a,programming-language
bot,is-a,application
bot,used-for,automation
bot,used-in,web
c,is-a,programming-language
calculate-pi,is-a,not-important
cassandra,is-a,dbms
cassandra,used-for,nosql
cassandra,used-in,database
cdnjs,is-a,cdn
cdnjs,used-in,under-revision
chrome,is-a,application
chrome,is-a,browser
chrome,used-in,web
chrome-extension,is-a,addon
chrome-extension,used-in,chrome
clash,is-a,under-revision
clash,used-in,network
cli,is-a,tool
cli,used-in,under-revision
clojure,is-a,programming-language
clojurescript,is-a,compiler
clojurescript,used-in,software-development
clojurescript,works-with,clojure
cloud-run,is-a,platform
cloud-run,used-for,container
cloud-run,used-in,cloud-computing
cms,is-a,tool
cms,used-for,manage
cms,used-in,under-revision
coap,is-a,protocol
coap,used-in,iot
code-quality,is-a,metric
code-quality,used-in,software-development-process
code-review,is-a,process
code-review,used-for,code-quality
code-review,used-in,software-development-process
codeception,is-a,framework
codeception,used-for,testing
codeception,used-in,software-development-process
codeception,works-with,php
common-lisp,is-a,programming-language
compiler,is-a,tool
compiler,used-in,software-development
composer,is-a,package-manager
composer,used-in,software-development
composer,works-with,php
computer-vision,is-a,field
computer-vision,used-in,ai
computer-vision,used-in,scientific
conan,is-a,package-manager
conan,used-in,software-development
conan,works-with,c
conan,works-with,cpp
contentful,is-a,cms
contentful,used-in,mobile
contentful,used-in,webapp
continuous-integration,is-a,practice
continuous-integration,used-for,automation
continuous-integration,used-in,software-development-process
coq,is-a,tool
coq,used-in,scientific
coursera,is-a,organization
coursera,used-in,education
covid-19,used-in,bioinformatics
covid-19,used-in,scientific
cpp,is-a,programming-language
credo,is-a,tool
credo,used-for,code-review
credo,used-for,education
credo,used-in,software-development-process
credo,works-with,elixir
cryptocurrency,is-a,under-revision
cryptocurrency,used-in,blockchain
crystal,is-a,programming-language
csharp,is-a,programming-language
css,is-a,style-sheet-language
css,used-for,frontend
css,used-in,webapp
csv,is-a,file-format
cwl,is-a,file-format
d,is-a,programming-language
dart,is-a,programming-language
data-structures,is-a,cs-basics
data-structures,used-in,education
data-visualization,is-a,field
data-visualization,used-for,visualization
data-visualization,used-in,data-science
data-visualization,used-in,scientific
database,is-a,under-revision
deep-learning,is-a,field
deep-learning,used-in,ai
deep-learning,used-in,scientific
deno,is-a,runtime-environment
deno,used-in,software-development
deno,works-with,javascript
deno,works-with,typescript
dependency-management,is-a,tool
dependency-management,used-for,manage
dependency-management,used-in,software-development
deployment,is-a,process
deployment,used-in,software-development-process
discord,is-a,application
discord,used-in,chat
django,is-a,framework
django,used-for,backend
django,used-in,webapp
django,works-with,python
dle,is-a,cms
docker,is-a,platform
docker,used-for,container
docker,used-in,software-development
documentation,is-a,artifact
documentation,used-in,education
dotnet,is-a,framework
dotnet,used-in,desktop
dotnet,used-in,mobile
dotnet,used-in,webapp
duckduckgo,is-a,search-engine
duckduckgo,used-for,search
duckduckgo,used-in,web
effector,is-a,state-manager
effector,used-for,ui-ux
effector,used-in,desktop
effector,used-in,mobile
effector,used-in,webapp
effector,works-with,javascript
elasticsearch,is-a,search-engine
elasticsearch,used-for,search
elasticsearch,used-in,web
electron,is-a,framework
electron,used-for,backend
electron,used-for,frontend
electron,used-in,desktop
electron,works-with,javascript
elixir,is-a,programming-language
elm,is-a,programming-language
emacs,is-a,text-editor
emacs,used-in,software-development
ember,is-a,framework
ember,used-for,frontend
ember,used-in,desktop
ember,used-in,webapp
ember,works-with,javascript
emoji,is-a,graphics
emulator,used-in,under-revision
ens,is-a,service
ens,used-in,blockchain
ens,works-with,ethereum
epics,is-a,tool
epics,used-for,control
epics,used-in,scientific
epitech,is-a,organization
epitech,used-in,education
erlang,is-a,programming-language
es6,is-a,programming-language
eslint,is-a,linter
eslint,used-in,software-development
eslint,works-with,javascript
ethereum,is-a,platform
ethereum,used-in,blockchain
express,is-a,framework
express,used-for,backend
express,used-in,mobile
express,used-in,webapp
express,works-with,javascript
f-droid,is-a,catalogue
f-droid,used-for,android
fabricmc,is-a,tool
fabricmc,used-in,game
fabricmc,works-with,minecraft
fantasy-console,is-a,game-engine
fantasy-console,used-in,game
fastify,is-a,framework
fastify,used-for,backend
fastify,used-in,mobile
fastify,used-in,webapp
fastify,works-with,javascript
figma,is-a,tool
figma,used-for,collaboration
figma,used-for,ui-ux
figma,used-in,software-development-process
finite-element-method,is-a,method
finite-element-method,used-in,scientific
firebase,is-a,platform
firebase,used-for,frontend
firebase,used-in,mobile
firebase,used-in,webapp
firefox,is-a,application
firefox,is-a,browser
firefox,used-in,web
firefox-extension,is-a,addon
firefox-extension,used-in,firefox
first,is-a,organization
first,used-in,competition
first-robotics-competition,is-a,competition
first-tech-challenge,is-a,competition
fish,is-a,cli
fish,works-with,linux
fish,works-with,macos
flask,is-a,framework
flask,used-for,backend
flask,used-in,webapp
flask,works-with,python
flutter,is-a,sdk
flutter,used-for,ui-ux
flutter,used-in,desktop
flutter,used-in,mobile
flutter,used-in,webapp
font,used-in,under-revision
fortran,is-a,programming-language
framework,is-a,under-revision
freeswitch,is-a,server
freeswitch,used-in,telecommunication
frontend,is-a,under-revision
frontend,used-for,visualization
frontend,used-in,webapp
fsharp,is-a,programming-language
game-engine,is-a,framework
game-engine,used-in,game
game-jam,is-a,hackathon
game-jam,used-in,game
game-off,is-a,game-jam
game-off,used-in,game
gamemaker,is-a,game-engine
gamemaker,used-for,2d
gamemaker,used-for,android
gamemaker,used-for,html5
gamemaker,used-for,ios
gamemaker,used-for,linux
gamemaker,used-for,macos
gamemaker,used-for,windows
gamemaker,used-in,game
garrysmod,is-a,application
garrysmod,is-a,game
garrysmod,used-in,entertainment
gatsby,is-a,framework
gatsby,used-for,site-generation
gatsby,used-in,mobile
gatsby,used-in,webapp
generative-adversarial-network,is-a,framework
generative-adversarial-network,used-in,ai
generative-adversarial-network,used-in,scientific
getting-things-done,is-a,method
getting-things-done,used-for,manage
gin,is-a,framework
gin,used-for,backend
gin,used-in,webapp
gin,works-with,go
git,is-a,vcs
git,used-in,software-development-process
github,is-a,vcs
github,used-in,software-development-process
github,works-with,git
github-api,is-a,api
github-api,used-in,software-development-process
github-api,works-with,github
global-game-jam,is-a,game-jam
global-game-jam,used-in,game
go,is-a,programming-language
godot,is-a,game-engine
godot,used-for,2d
godot,used-for,3d
godot,used-for,android
godot,used-for,html5
godot,used-for,ios
godot,used-for,linux
godot,used-for,macos
godot,used-for,windows
godot,used-in,game
google,is-a,organization
google-cloud,is-a,platform
google-cloud,used-in,cloud-computing
gradescope,is-a,online-judge
gradescope,used-for,grading
gradescope,used-in,education
gradle,is-a,tool
gradle,used-for,automation
gradle,used-in,software-development-process
graphql,is-a,query-language
graphql,used-in,database
groovy,is-a,programming-language
guildwars2,is-a,application
guildwars2,is-a,game
guildwars2,used-in,entertainment
gulp,is-a,tool
gulp,used-for,automation
gulp,used-in,frontend
gulp,works-with,javascript
hackathon,is-a,event
hacktoberfest,is-a,event
haskell,is-a,programming-language
haxe,is-a,programming-language
hms,is-a,service
hms,used-in,mobile
home-assistant,is-a,tool
home-assistant,used-for,automation
home-assistant,used-for,privacy
home-assistant,used-in,iot
homebrew,is-a,package-manager
homebrew,works-with,macos
homebridge,is-a,server
homebridge,used-for,control
homebridge,used-in,iot
homebridge,works-with,siri
html,is-a,markup-language
html,used-for,frontend
html,used-in,webapp
http,is-a,protocol
http,used-for,communication
http,used-in,web
icon-font,is-a,graphics
image-processing,is-a,field
image-processing,used-in,ai
image-processing,used-in,computer-vision
imagej,is-a,tool
imagej,used-for,image-processing
imagej,used-in,scientific
imagej,works-with,java
indieweb,is-a,under-revision
ios,is-a,operating-system
ios,used-in,mobile
ipfs,is-a,protocol
ipfs,used-in,network
java,is-a,programming-language
javafx,is-a,library
javafx,used-for,ui-ux
javafx,used-in,desktop
javafx,used-in,embedded
javafx,used-in,mobile
javafx,works-with,java
javascript,is-a,programming-language
jekyll,is-a,framework
jekyll,used-for,site-generation
jekyll,used-in,webapp
jekyll,works-with,ruby
jenkins,is-a,tool
jenkins,used-for,automation
jenkins,used-for,cicd
jenkins,used-in,software-development-process
jquery,is-a,library
jquery,used-for,frontend
jquery,used-in,webapp
jquery,works-with,javascript
js13kgames,is-a,competition
js13kgames,used-for,html5
js13kgames,used-in,game
js13kgames,works-with,javascript
json,is-a,file-format
julia,is-a,programming-language
jupyter-notebook,is-a,tool
jupyter-notebook,used-for,code
jupyter-notebook,used-in,scientific
jwt,is-a,protocol
jwt,used-for,communication
jwt,used-for,security
jwt,used-in,web
kentico-kontent,is-a,cms
kentico-kontent,used-in,mobile
kentico-kontent,used-in,webapp
kerbal-space-program,is-a,application
kerbal-space-program,is-a,game
kerbal-space-program,used-in,entertainment
koa,is-a,framework
koa,used-for,backend
koa,used-in,webapp
koa,works-with,javascript
kotlin,is-a,programming-language
kubernetes,is-a,tool
kubernetes,used-for,automation
kubernetes,used-for,manage
kubernetes,used-for,monitoring
kubernetes,used-in,software-development-process
laravel,is-a,framework
laravel,used-for,backend
laravel,used-in,webapp
laravel,works-with,php
latex,is-a,application
latex,is-a,word-processor
less,is-a,style-sheet-language
less,used-for,frontend
less,used-in,webapp
libcloud,is-a,library
libcloud,used-in,cloud-computing
libcloud,works-with,python
library,is-a,under-revision
liko-12,is-a,fantasy-console
liko-12,used-in,game
lineageos,is-a,operating-system
linux,is-a,operating-system
lisp,is-a,programming-language
llvm,is-a,compiler
llvm,used-in,software-development
localization,is-a,practice
localization,used-in,software-development
lua,is-a,programming-language
ludum-dare,is-a,game-jam
ludum-dare,used-in,game
luvit,is-a,runtime-environment
luvit,used-in,software-development
luvit,works-with,lua
m3o,is-a,platform
m3o,used-in,cloud-computing
machine-learning,is-a,field
machine-learning,used-in,ai
machine-learning,used-in,scientific
macos,is-a,operating-system
mada,is-a,not-important
mahapps,is-a,framework
mahapps,used-for,ui-ux
mahapps,used-in,desktop
markdown,is-a,markup-language
mastodon,is-a,application
mastodon,is-a,social-network
material-design,is-a,framework
material-design,used-for,ui-ux
material-design,used-in,desktop
material-design,used-in,mobile
material-design,used-in,webapp
material-design-for-bootstrap,is-a,framework
material-design-for-bootstrap,used-for,ui-ux
material-design-for-bootstrap,used-in,desktop
material-design-for-bootstrap,used-in,mobile
material-design-for-bootstrap,used-in,webapp
matlab,is-a,programming-language
maven,is-a,tool
maven,used-for,automation
maven,used-in,software-development-process
maven,works-with,java
maze,is-a,game
mediawiki,is-a,under-revision
microformats,is-a,markup-language
microformats,works-with,html
mikrotik,is-a,organization
mikrotik,used-in,network
minecraft,is-a,application
minecraft,is-a,game
minecraft,used-in,entertainment
mkdocs,is-a,tool
mkdocs,used-for,site-generation
mkdocs,used-in,webapp
mobile,is-a,under-revision
molecule,is-a,tool
molecule,used-for,testing
molecule,used-in,software-development-process
molecule,works-with,ansible
moleculer,is-a,framework
moleculer,used-for,microservice
moleculer,used-in,mobile
moleculer,used-in,webapp
moleculer,works-with,javascript
monero,is-a,cryptocurrency
monero,used-in,blockchain
mongodb,is-a,dbms
mongodb,used-for,nosql
mongodb,used-in,database
mongoose,is-a,tool
mongoose,used-for,modeling
mongoose,used-in,database
mongoose,works-with,mongodb
monitoring,is-a,process
monitoring,used-in,software-development-process
mount-and-blade-bannerlord,is-a,application
mount-and-blade-bannerlord,is-a,game
mount-and-blade-bannerlord,used-in,entertainment
mvvmcross,is-a,framework
mvvmcross,used-in,mobile
mvvmcross,works-with,dotnet
myanimelist,is-a,catalogue
myanimelist,is-a,forum
myanimelist,used-in,entertainment
mysql,is-a,dbms
mysql,used-for,relational
mysql,used-in,database
mysql,works-with,sql
nashville,is-a,not-important
nativescript,is-a,framework
nativescript,used-for,frontend
nativescript,used-in,mobile
nativescript,works-with,javascript
neo,is-a,platform
neo,used-in,blockchain
neo4j,is-a,dbms
neo4j,used-for,graph-based
neo4j,used-in,database
neo4j,works-with,cypher
neovim,is-a,text-editor
neovim,used-in,software-development
nestjs,is-a,framework
nestjs,used-for,backend
nestjs,used-in,webapp
nestjs,works-with,javascript
netbox,is-a,tool
netbox,used-for,manage
netbox,used-in,network
netbox-plugin,is-a,addon
netbox-plugin,used-in,netbox
nette,is-a,framework
nette,used-for,backend
nette,used-in,webapp
nette,works-with,php
neural-network,is-a,field
neural-network,used-in,ai
neural-network,used-in,scientific
nginx,is-a,server
nginx,used-in,web
nim,is-a,programming-language
nlp,is-a,field
nlp,used-in,ai
nlp,used-in,scientific
nodejs,is-a,runtime-environment
nodejs,used-in,desktop
nodejs,used-in,mobile
nodejs,used-in,webapp
nodejs,works-with,javascript
nosql,is-a,database
npm,is-a,package-manager
npm,used-in,software-development
npm,works-with,nodejs
nuget,is-a,package-manager
nuget,used-in,software-development
nuget,works-with,dotnet
nuxt,is-a,framework
nuxt,used-for,frontend
nuxt,used-in,webapp
nuxt,works-with,javascript
objective-c,is-a,programming-language
ocaml,is-a,programming-language
online-judge,is-a,tool
online-judge,used-for,grading
online-judge,used-in,education
open-access,is-a,license
open-access,used-in,scientific
open-data,is-a,under-revision
open-source,is-a,license
opencv,is-a,library
opencv,used-in,computer-vision
opencv,works-with,c
opencv,works-with,cpp
opencv,works-with,java
opencv,works-with,javascript
opencv,works-with,matlab
opencv,works-with,octave
opencv,works-with,python
openfin,is-a,operating-system
opengl,is-a,api
opengl,used-for,2d
opengl,used-for,3d
opengl,used-in,hardware
operating-system,is-a,under-revision
p2p,is-a,under-revision
p2p,used-in,network
package-manager,is-a,tool
package-manager,used-for,manage
package-manager,used-in,under-revision
parsing,is-a,tool
parsing,used-in,software-development
perl,is-a,programming-language
pharo,is-a,ide
pharo,is-a,programming-language
pharo,used-in,software-development
phaser,is-a,game-engine
phaser,used-for,2d
phaser,used-for,html5
phaser,used-in,game
phaser,works-with,javascript
phaser,works-with,typescript
php,is-a,programming-language
php-fusion,is-a,cms
php-fusion,works-with,php
phpunit,is-a,framework
phpunit,used-for,testing
phpunit,used-in,software-development-process
phpunit,works-with,php
pico-8,is-a,fantasy-console
pico-8,used-in,game
pihole,is-a,under-revision
pip,is-a,package-manager
pip,used-in,software-development
pip,works-with,python
pixel-art,is-a,graphics
pixel-vision-8,is-a,fantasy-console
pixel-vision-8,used-in,game
pixiv,is-a,community
pixiv,used-for,publishing
pixiv,used-in,art
pmmp,is-a,server
pmmp,used-in,game
pmmp,works-with,minecraft
ponylang,is-a,programming-language
portapps,is-a,catalogue
portapps,used-for,windows
postgresql,is-a,dbms
postgresql,used-for,relational
postgresql,used-in,database
pov-ray,is-a,tool
pov-ray,used-for,graphics
powershell,is-a,under-revision
privacy,is-a,under-revision
privacy,used-in,security
probot,is-a,framework
probot,used-for,automation
probot,used-in,software-development-process
probot,works-with,github
probot,works-with,nodejs
project-management,is-a,process
project-management,used-for,manage
project-management,used-in,software-development-process
publishing,is-a,process
purescript,is-a,programming-language
pwa,is-a,under-revision
pwa,used-in,webapp
python,is-a,programming-language
qmk,is-a,firmware
qt,is-a,framework
qt,used-for,ui-ux
qt,used-in,desktop
qt,used-in,mobile
r,is-a,programming-language
racket,is-a,programming-language
rails,is-a,framework
rails,used-for,backend
rails,used-in,webapp
rails,works-with,ruby
raku,is-a,programming-language
raspberry-pi,is-a,hardware
raspberry-pi,used-in,under-revision
ratchet,is-a,library
ratchet,used-for,communication
ratchet,works-with,php
react,is-a,library
react,used-for,ui-ux
react,used-in,desktop
react,used-in,mobile
react,used-in,webapp
react,works-with,javascript
react-native,is-a,framework
react-native,used-for,frontend
react-native,used-in,mobile
react-native,used-in,webapp
react-native,works-with,javascript
reactiveui,is-a,framework
reactiveui,used-for,ui-ux
reactiveui,used-in,desktop
reactiveui,used-in,mobile
reactiveui,works-with,dotnet
reactphp,is-a,library
reactphp,used-for,event-driven
reactphp,used-in,under-revision
reactphp,works-with,php
reason,is-a,programming-language
redis,is-a,dbms
redis,used-for,nosql
redis,used-in,database
redux,is-a,library
redux,used-for,ui-ux
redux,used-in,mobile
redux,used-in,webapp
redux,works-with,javascript
reflex-frp,is-a,library
reflex-frp,works-with,haskell
rest-api,is-a,protocol
rest-api,used-for,communication
rest-api,used-in,web
reverse-engineering,is-a,process
reverse-engineering,used-in,software-development-process
robotframework,is-a,framework
robotframework,used-for,automation
robotframework,used-for,testing
robotframework,used-in,software-development-process
robotics,is-a,field
robotics,used-in,under-revision
roomba,is-a,device
ruby,is-a,programming-language
rust,is-a,programming-language
sass,is-a,style-sheet-language
sass,used-for,frontend
sass,used-in,webapp
sbml,is-a,file-format
scala,is-a,programming-language
scambaiting,is-a,process
scikit-learn,is-a,library
scikit-learn,used-in,ai
scikit-learn,used-in,machine-learning
scikit-learn,works-with,python
sdn,is-a,architecture
sdn,used-in,network
security,is-a,under-revision
server,is-a,under-revision
serverless,is-a,architecture
shell,is-a,tool
shell,used-in,under-revision
shell,works-with,cli
sitecore,is-a,under-revision
sketch,is-a,tool
sketch,used-for,graphics
sketch,used-for,ui-ux
sketch,used-in,mobile
sketch,used-in,webapp
sketch,works-with,macos
spacevim,is-a,text-editor
spacevim,used-in,software-development
spring-boot,is-a,framework
spring-boot,used-for,microservice
spring-boot,used-in,mobile
spring-boot,used-in,webapp
spring-boot,works-with,java
sql,is-a,query-language
sql,used-in,database
sqlite,is-a,dbms
sqlite,used-for,relational
sqlite,used-in,database
ss13,is-a,application
ss13,is-a,game
ss13,used-in,entertainment
standard-ml,is-a,programming-language
storybook,is-a,ide
storybook,used-for,ui-ux
storybook,used-in,mobile
storybook,used-in,webapp
styled-components,is-a,library
styled-components,used-for,ui-ux
styled-components,used-in,desktop
styled-components,used-in,mobile
styled-components,used-in,webapp
styled-components,works-with,javascript
sublime-text,is-a,text-editor
sublime-text,used-in,software-development
support,is-a,process
support,used-in,under-revision
svelte,is-a,framework
svelte,used-for,ui-ux
svelte,used-in,mobile
svelte,used-in,webapp
svelte,works-with,javascript
swift,is-a,programming-language
symfony,is-a,framework
symfony,used-for,backend
symfony,used-in,webapp
symfony,works-with,php
synthetic-biology,is-a,field
synthetic-biology,used-in,scientific
tailwind,is-a,framework
tailwind,used-for,ui-ux
tailwind,used-in,webapp
tailwind,works-with,css
tbox,is-a,library
tbox,works-with,c
teeworlds,is-a,application
teeworlds,is-a,game
teeworlds,used-in,entertainment
telegram,is-a,application
telegram,used-in,chat
tensorflow,is-a,library
tensorflow,used-in,ai
tensorflow,used-in,deep-learning
tensorflow,works-with,cpp
tensorflow,works-with,python
terminal,is-a,tool
terminal,used-in,under-revision
terraform,is-a,tool
terraform,used-for,automation
terraform,used-in,under-revision
testing,is-a,process
testing,used-in,software-development-process
tex,is-a,word-processor
thelounge,is-a,application
thelounge,used-in,chat
threejs,is-a,api
threejs,is-a,library
threejs,used-for,graphics
threejs,used-in,webapp
threejs,works-with,javascript
tic-80,is-a,fantasy-console
tic-80,used-in,game
twitch,is-a,platform
twitch,used-for,streaming
twitch,used-in,game
twitter,is-a,application
twitter,used-in,social-network
typescript,is-a,programming-language
ubuntu,is-a,operating-system
umbraco,is-a,cms
umbraco,works-with,aspnet
unigine,is-a,game-engine
unigine,used-in,game
unity,is-a,game-engine
unity,used-for,2d
unity,used-for,3d
unity,used-for,android
unity,used-for,html5
unity,used-for,ios
unity,used-for,linux
unity,used-for,macos
unity,used-for,windows
unity,used-in,game
university-of-texas-arlington,is-a,organization
university-of-texas-arlington,used-in,education
unreal-engine,is-a,game-engine
unreal-engine,used-for,2d
unreal-engine,used-for,3d
unreal-engine,used-for,android
unreal-engine,used-for,ios
unreal-engine,used-for,linux
unreal-engine,used-for,macos
unreal-engine,used-for,windows
unreal-engine,used-in,game
uportal,is-a,framework
uportal,used-for,portal
uportal,used-in,education
userscript,is-a,addon
userscript,used-in,browser
uwp,is-a,platform
uwp,used-in,under-revision
v,is-a,programming-language
vagrant,is-a,tool
vagrant,used-for,automation
vagrant,used-for,virtualization
vagrant,used-in,system-administration
vanilla-js,is-a,programming-language
vercel,is-a,platform
vercel,used-for,frontend
vercel,used-in,webapp
vertx,is-a,framework
vertx,used-in,under-revision
vertx,works-with,java
vim,is-a,text-editor
vim,used-in,software-development
virtual-reality,is-a,field
visual-basic,is-a,programming-language
visual-studio-code,is-a,text-editor
visual-studio-code,used-in,software-development
viur,is-a,framework
vue,is-a,framework
vue,used-for,frontend
vue,used-in,webapp
vue,works-with,javascript
wagtail,is-a,cms
web-assembly,is-a,protocol
web-assembly,used-in,virtualization
web-components,is-a,under-revision
web-monetization,is-a,api
web-monetization,used-in,browser
web-monetization,works-with,javascript
webapp,is-a,under-revision
webauthn,is-a,protocol
webauthn,used-for,authentication
webauthn,used-in,security
webextension,is-a,protocol
webextension,used-for,addon
webextension,used-in,browser
webpack,is-a,tool
webpack,used-for,under-revision
webpack,used-in,webapp
webpack,works-with,javascript
website,is-a,under-revision
windows,is-a,operating-system
winforms,is-a,framework
winforms,used-for,ui-ux
winforms,used-in,desktop
winforms,works-with,dotnet
wordplate,is-a,cms
wordplate,works-with,wordpress
wordpress,is-a,cms
wpf,is-a,framework
wpf,used-for,ui-ux
wpf,used-in,desktop
wpf,works-with,dotnet
xamarin,is-a,platform
xamarin,used-for,frontend
xamarin,used-in,desktop
xamarin,used-in,mobile
xamarin,works-with,dotnet
xcode,is-a,ide
xcode,used-in,software-development
xcode,works-with,macos
xmake,is-a,tool
xmake,used-for,automation
xmake,used-in,software-development-process
xml,is-a,file-format
yaml,is-a,file-format
yii,is-a,framework
yii,used-for,backend
yii,used-in,webapp
yii,works-with,php
zeit,is-a,organization
zeit,used-in,cloud-computing
zeplin,is-a,tool
zeplin,used-for,collaboration
zeplin,used-for,ui-ux
zeplin,used-in,software-development-process
zeronet,is-a,network
zsh,is-a,cli
